name,agency,image,wikipedia,launches,status,id
Robert Behnken,NASA,https://imgur.com/0smMgMH.png,https://en.wikipedia.org/wiki/Robert_L._Behnken,['5eb87d46ffd86e000604b388'],active,5ebf1a6e23a9a60006e03a7a
Douglas Hurley,NASA,https://i.imgur.com/ooaayWf.png,https://en.wikipedia.org/wiki/Douglas_G._Hurley,['5eb87d46ffd86e000604b388'],active,5ebf1b7323a9a60006e03a7b
Shannon Walker,NASA,https://imgur.com/9z4tRIO.png,https://en.wikipedia.org/wiki/Shannon_Walker,['5eb87d4dffd86e000604b38e'],active,5f7f1543bf32c864a529b23e
Soichi Noguchi,JAXA,https://imgur.com/7B1jxl8.png,https://en.wikipedia.org/wiki/Soichi_Noguchi,['5eb87d4dffd86e000604b38e'],active,5f7f158bbf32c864a529b23f
Victor J. Glover,NASA,https://imgur.com/Vv5Hgzh.png,https://en.wikipedia.org/wiki/Victor_J._Glover,['5eb87d4dffd86e000604b38e'],active,5f7f15d5bf32c864a529b240
Michael S. Hopkins,NASA,https://imgur.com/Dfg8OJ2.png,https://en.wikipedia.org/wiki/Michael_S._Hopkins,['5eb87d4dffd86e000604b38e'],active,5f7f1614bf32c864a529b241
Shane Kimbrough,NASA,https://imgur.com/nwxqtcT.png,https://en.wikipedia.org/wiki/Shane_Kimbrough,['5fe3af58b3467846b324215f'],active,5fe3ba5fb3467846b3242188
K. Megan McArthur,NASA,https://imgur.com/0VNXcdM.png,https://en.wikipedia.org/wiki/K._Megan_McArthur,['5fe3af58b3467846b324215f'],active,5fe3bb01b3467846b3242189
Thomas Pesquet,ESA,https://imgur.com/5iColcZ.png,https://en.wikipedia.org/wiki/Thomas_Pesquet,['5fe3af58b3467846b324215f'],active,5fe3bc3db3467846b324218b
Akihiko Hoshide,JAXA,https://imgur.com/GefuPYs.png,https://en.wikipedia.org/wiki/Akihiko_Hoshide,['5fe3af58b3467846b324215f'],active,5fe3bc8ab3467846b324218c
Raja Chari,NASA,https://imgur.com/uKj6DOF.png,https://en.wikipedia.org/wiki/Raja_Chari,['5fe3b15eb3467846b324216d'],active,5fe3c587b3467846b3242198
Thomas Marshburn,NASA,https://imgur.com/9RmQJZw.png,https://en.wikipedia.org/wiki/Thomas_Marshburn,['5fe3b15eb3467846b324216d'],active,5fe3c5beb3467846b3242199
Matthias Maurer,ESA,https://imgur.com/yBPw4mX.png,https://en.wikipedia.org/wiki/Matthias_Maurer,['5fe3b15eb3467846b324216d'],active,5fe3c5f6b3467846b324219a
Jared Isaacman,SpaceX,https://imgur.com/BpdQrMv.png,https://en.wikipedia.org/wiki/Jared_Isaacman,['607a37565a906a44023e0866'],active,607a3a5f5a906a44023e0870
Hayley Arceneaux,SpaceX,https://imgur.com/ll7TlwD.png,https://en.wikipedia.org/wiki/Hayley_Arceneaux,['607a37565a906a44023e0866'],active,607a3ab45a906a44023e0872
Sian Proctor,SpaceX,https://imgur.com/gcnGDC6.png,https://en.wikipedia.org/wiki/Sian_Proctor,['607a37565a906a44023e0866'],active,607b48375a906a44023e08b8
